Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GET POST TOKEN,,,,25-01-2024 13:59:10,25-01-2024 13:59:16,5.532s,PASSED
,,,,,,,
Test Cases/iGLO - Training API/Authentication/Get Token Post,,,,25-01-2024 13:59:11,25-01-2024 13:59:16,5.121s,PASSED
"sendRequestAndVerify(findTestObject(""Token_Fiona_FIF"", [""user"":""fiona"", ""pass"":""zQe9Rk4qqvzs3Xyz""]))",,,,25-01-2024 13:59:11,25-01-2024 13:59:15,4.060s,PASSED
"sendRequestAndVerify(findTestObject(""PostData"", [""Ltoken"":token]))",,,,25-01-2024 13:59:15,25-01-2024 13:59:16,0.871s,PASSED
